depth,sand,event index,median_age,min_age,max_age,data_site
NaN,NaN,0,1078.20,NaN,NaN,Basin Bayou2
275.5,0.5546,0,1070.80,1024.6,1141.5,Basin Bayou2
NaN,NaN,0,1069.10,NaN,NaN,Basin Bayou2
276.5,0.2999,0,1061.50,1017.1,1130.3,Basin Bayou2
NaN,NaN,0,1059.90,NaN,NaN,Basin Bayou2
277.5,0.0655,0,1052.00,1007.9,1119.7,Basin Bayou2
278.5,6.0635,0,1047.20,1003.7,1113.9,Basin Bayou2
279.5,41.9776,0,1047.20,1003.7,1113.9,Basin Bayou2
280.5,44.0346,0,1047.20,1003.7,1113.9,Basin Bayou2
281.5,17.5603,0,1047.20,1003.7,1113.9,Basin Bayou2
282.5,13.7973,0,1047.20,1003.7,1113.9,Basin Bayou2
283.5,8.6601,1,1047.20,1003.7,1113.9,Basin Bayou2
284.5,4.0826,0,1042.50,998.4,1109.3,Basin Bayou2
285.5,2.3792,0,1030.40,984.4,1097.6,Basin Bayou2
NaN,NaN,0,1020.90,NaN,NaN,Basin Bayou2
286.5,7.6567,0,1015.50,960.2,1085.7,Basin Bayou2
NaN,NaN,0,1001.70,NaN,NaN,Basin Bayou2
287.5,1.5829,0,1000.60,936.8,1072.7,Basin Bayou2
288.5,2.1731,0,985.60,917.3,1059.4,Basin Bayou2
NaN,NaN,0,982.50,NaN,NaN,Basin Bayou2
289.5,32.0408,0,978.10,905.5,1054.3,Basin Bayou2
290.5,64.1035,0,978.10,905.5,1054.3,Basin Bayou2
291.5,30.1775,1,978.10,905.5,1054.3,Basin Bayou2
NaN,NaN,0,972.90,NaN,NaN,Basin Bayou2
292.5,23.9696,0,970.60,897.7,1045.7,Basin Bayou2
NaN,NaN,0,963.30,NaN,NaN,Basin Bayou2
293.5,34.2776,0,963.00,889.8,1037,Basin Bayou2
294.5,33.3879,0,963.00,889.8,1037,Basin Bayou2
295.5,27.3355,1,963.00,889.8,1037,Basin Bayou2
296.5,25.5043,0,955.40,878.8,1031,Basin Bayou2
NaN,NaN,0,954.10,NaN,NaN,Basin Bayou2
297.5,30.8006,0,947.70,867.7,1024.9,Basin Bayou2
298.5,27.0056,0,947.70,867.7,1024.9,Basin Bayou2
299.5,15.9495,0,947.70,867.7,1024.9,Basin Bayou2
300.5,13.9771,0,947.70,867.7,1024.9,Basin Bayou2
301.5,14.2611,0,947.70,867.7,1024.9,Basin Bayou2
302.5,12.548,0,947.70,867.7,1024.9,Basin Bayou2
303.5,9.0758,1,947.70,867.7,1024.9,Basin Bayou2
304.5,4.2265,0,940.40,858,1017.4,Basin Bayou2
305.5,7.164,0,933.00,848.2,1009.9,Basin Bayou2
306.5,8.7649,1,933.00,848.2,1009.9,Basin Bayou2
307.5,5.7339,0,925.60,835.1,1004.4,Basin Bayou2
308.5,28.4118,1,918.20,822,998.9,Basin Bayou2
