depth,sand,event index,median_age,min_age,max_age,data_site
89,30.9540,1,2223.6,2144.5,2280.6,Hancock County
90,4.2986,0,2234,2157.7,2287.4,Hancock County
91,1.3258,0,2243.9,2167.4,2300.6,Hancock County
92,0.9572,0,2254.3,2187.9,2307.7,Hancock County
93,1.0516,0,2265.5,2202.5,2316.2,Hancock County
94,0.9427,0,2276.8,2212,2326.3,Hancock County
95,0.7059,0,2293.6,2230.1,2336.2,Hancock County
96,0.6765,0,2309.6,2241.8,2355.7,Hancock County
97,0.8828,0,2323.5,2250.7,2393,Hancock County
98,0.4503,0,2343.4,2265.2,2422,Hancock County
99,0.5682,0,2359.1,2275,2468.2,Hancock County
100,0.6962,0,2374,2281.4,2525.5,Hancock County
101,0.7041,0,2394.4,2297.2,2549.7,Hancock County
102,0.5307,0,2413.4,2307.8,2587.4,Hancock County
103,0.8912,0,2430.2,2314.8,2628,Hancock County
104,0.8306,0,2451,2331.2,2650.1,Hancock County
105,0.6267,0,2471.5,2342.6,2680.8,Hancock County
106,0.6504,0,2490.1,2351.8,2719.9,Hancock County
107,0.5851,0,2513.3,2367,2742.5,Hancock County
108,0.7074,0,2534.8,2377.1,2772.6,Hancock County
109,0.7259,0,2555.8,2386.1,2809.6,Hancock County
110,1.0266,0,2574.4,2403.3,2831.2,Hancock County
111,1.2247,0,2593.8,2416.3,2860.3,Hancock County
112,1.4953,0,2612.4,2427.1,2896.8,Hancock County
113,1.4384,0,2632.6,2443.5,2923.1,Hancock County
0.5,3.6507,0,2015,2013,2016,Long Island Blue hole
1.5,7.9689,0,2014,2011,2015,Long Island Blue hole
2.5,35.8779,1,2014,2011,2015,Long Island Blue hole
3.5,3.3813,0,2012,2008,2015,Long Island Blue hole
4.5,3.9649,0,2011,2006,2015,Long Island Blue hole
5.5,4.2341,0,2010,2003,2015,Long Island Blue hole
6.5,3.2004,0,2009,2000,2014,Long Island Blue hole
7.5,3.1400,0,2008,1997,2014,Long Island Blue hole
8.5,11.8046,1,2008,1997,2014,Long Island Blue hole
9.5,10.4304,0,2006,1994,2014,Long Island Blue hole
10.5,5.8864,0,2005,1991,2014,Long Island Blue hole
11.5,6.3543,0,2004,1988,2014,Long Island Blue hole
12.5,4.2397,0,2003,1985,2014,Long Island Blue hole
13.5,7.6926,0,2002,1982,2013,Long Island Blue hole
14.5,13.0406,1,2002,1982,2013,Long Island Blue hole
15.5,8.4156,0,2000,1979,2013,Long Island Blue hole
16.5,7.8836,0,1999,1976,2013,Long Island Blue hole
17.5,9.3765,0,1998,1973,2013,Long Island Blue hole
18.5,7.4208,0,1997,1971,2013,Long Island Blue hole
19.5,5.1705,0,1996,1968,2013,Long Island Blue hole
20.5,5.8062,0,1994,1965,2012,Long Island Blue hole
21.5,4.7061,0,1993,1962,2012,Long Island Blue hole
22.5,4.7058,0,1992,1959,2012,Long Island Blue hole
23.5,6.5410,0,1991,1956,2012,Long Island Blue hole
